time,ds_id,lon,lat
8456,4,119.614165,24.273831
8456,4,118.896871,24.001589
8456,4,118.891843,23.994622
8456,4,119.353522,24.759761
8456,4,119.373945,24.828888
8456,4,119.513711,24.65906
8456,4,119.259388,24.243888
8456,4,119.342881,24.023145
8456,4,119.635784,24.468575
8456,4,119.741061,24.627629
8464,4,119.591915,24.297709
8464,4,119.022836,24.814892
8464,4,118.750708,23.913199
8464,4,118.968051,24.111753
8464,4,118.854445,23.992126
8464,4,119.113106,23.998546
8464,4,119.611193,24.268219
8464,4,118.901842,24.002572
8464,4,118.896182,23.995418
8464,4,119.352174,24.759128
8464,4,119.372721,24.828437
8464,4,119.511579,24.652981
8464,4,119.258445,24.244496
8464,4,119.633689,24.46586
8464,4,118.902084,23.932492
8464,4,119.739137,24.62317
8472,4,119.592476,24.296878
8472,4,119.022312,24.813903
8472,4,118.747694,23.912271
8472,4,118.977033,24.114619
8472,4,118.853966,23.992372
8472,4,118.483614,24.330869
8472,4,119.113115,23.998453
8472,4,118.820109,24.131037
8472,4,119.617228,24.275904
8472,4,118.89929,24.002391
8472,4,118.890346,23.994746
8472,4,119.350954,24.759437
8472,4,119.371202,24.829665
8472,4,119.51054,24.653106
8472,4,119.341634,24.022951
8472,4,118.901396,23.933616
8472,4,119.737233,24.618364
8480,4,119.021805,24.813235
8480,4,118.751143,23.911363
8480,4,118.680308,24.400793
8480,4,118.975786,24.114406
8480,4,118.855784,23.992596
8480,4,118.484783,24.331318
8480,4,119.109115,23.996813
8480,4,119.61686,24.273931
8480,4,118.898871,24.002471
8480,4,118.89793,23.99605
8480,4,119.349708,24.761119
8480,4,119.370285,24.826441
8480,4,119.509555,24.65283
8480,4,119.255792,24.245467
8480,4,119.33708,24.02015
8480,4,119.6339,24.47086
8480,4,118.902396,23.934999
8480,4,119.737549,24.626794
8488,4,119.593777,24.295832
8488,4,119.020659,24.814528
8488,4,118.754437,23.910545
8488,4,118.679497,24.402234
8488,4,118.975401,24.114459
8488,4,118.489966,24.329798
8488,4,119.110132,23.997037
8488,4,118.825826,24.132199
8488,4,119.620688,24.278261
8488,4,118.906728,24.003889
8488,4,119.348287,24.759715
8488,4,119.368525,24.829973
8488,4,119.509455,24.658221
8488,4,119.253794,24.245327
8488,4,119.331969,24.017133
8488,4,118.899283,23.935757
8488,4,119.735985,24.624644
8496,4,119.593003,24.292995
8496,4,118.752815,23.909653
8496,4,118.682963,24.402813
8496,4,118.972453,24.113655
8496,4,118.853506,23.992587
8496,4,118.486253,24.332742
8496,4,118.825401,24.132613
8496,4,119.618069,24.273046
8496,4,118.90424,24.003686
8496,4,118.894483,23.995896
8496,4,119.347215,24.761279
8496,4,119.367606,24.827263
8496,4,119.25369,24.246645
8496,4,119.33746,24.0209
8496,4,119.630682,24.467532
8496,4,119.735192,24.626633
8504,4,119.597091,24.297687
8504,4,119.019254,24.813662
8504,4,118.751921,23.908776
8504,4,118.683705,24.403842
8504,4,118.975037,24.114609
8504,4,118.858805,23.993392
8504,4,118.487158,24.333409
8504,4,119.11901,24.000331
8504,4,118.828267,24.133178
8504,4,119.620275,24.275163
8504,4,118.902239,24.0036
8504,4,118.899908,23.996974
8504,4,119.345865,24.762914
8504,4,119.36577,24.830943
8504,4,119.507078,24.656779
8504,4,119.253071,24.247799
8504,4,119.332269,24.01777
8504,4,119.632091,24.473302
8504,4,118.904204,23.938851
8504,4,119.733203,24.621426
8512,4,119.597785,24.297133
8512,4,119.018528,24.813544
8512,4,118.742334,23.908019
8512,4,118.686515,24.404564
8512,4,118.976867,24.11534
8512,4,118.86369,23.994163
8512,4,118.491298,24.332308
8512,4,119.115294,23.998708
8512,4,118.829829,24.133643
8512,4,119.619701,24.272937
8512,4,118.909449,24.00493
8512,4,119.344615,24.760678
8512,4,119.364577,24.8304
8512,4,119.506116,24.65725
8512,4,119.254858,24.250695
8512,4,119.330616,24.017006
8512,4,119.631181,24.473226
8512,4,118.894342,23.93867
8512,4,119.731386,24.618095
8520,4,119.599484,24.298201
8520,4,119.0182,24.811147
8520,4,118.744637,23.907039
8520,4,118.68492,24.405951
8520,4,118.491144,24.3335
8520,4,119.123797,24.002109
8520,4,118.834063,24.134516
8520,4,119.622045,24.275192
8520,4,118.908463,24.004923
8520,4,118.905423,23.998109
8520,4,119.343453,24.765357
8520,4,119.505119,24.657523
8520,4,119.255414,24.252727
8520,4,119.332181,24.018188
8520,4,119.629305,24.471124
8520,4,118.899549,23.940633
8520,4,119.730648,24.619863
8528,4,119.601313,24.299366
8528,4,119.017176,24.812773
8528,4,118.74494,23.906241
8528,4,118.685122,24.407191
8528,4,118.865127,23.994531
8528,4,118.490114,24.335153
8528,4,119.121824,24.001229
8528,4,118.829918,24.134307
8528,4,119.622492,24.274535
8528,4,118.908993,24.005109
8528,4,118.905492,23.998295
8528,4,119.342081,24.758654
8528,4,119.361643,24.832068
8528,4,119.504034,24.656991
8528,4,119.249539,24.249271
8528,4,119.329994,24.017178
8528,4,119.626821,24.467153
8528,4,118.894306,23.941036
8528,4,119.730649,24.625985
8536,4,119.600875,24.297186
8536,4,119.016341,24.812635
8536,4,118.687545,24.407862
8536,4,118.982514,24.117603
8536,4,118.861751,23.994281
8536,4,118.490162,24.336151
8536,4,119.115584,23.998423
8536,4,118.834715,24.135208
8536,4,119.626652,24.279571
8536,4,118.916834,24.006764
8536,4,118.903834,23.998224
8536,4,119.340842,24.764995
8536,4,119.361292,24.824398
8536,4,119.502488,24.653592
8536,4,119.253254,24.253933
8536,4,119.333848,24.019762
8536,4,118.898936,23.942905
8536,4,119.728785,24.622294
8544,4,119.602696,24.298582
8544,4,119.015587,24.812783
8544,4,118.749714,23.904372
8544,4,118.687364,24.409028
8544,4,118.98311,24.117806
8544,4,118.86298,23.994541
8544,4,118.490756,24.337005
8544,4,119.119723,24.000037
8544,4,118.914134,24.006433
8544,4,118.909953,23.999404
8544,4,119.339549,24.760494
8544,4,119.359562,24.827224
8544,4,119.50287,24.661908
8544,4,119.255411,24.257091
8544,4,119.329639,24.017335
8544,4,119.627071,24.472373
8544,4,118.896502,23.94381
8544,4,119.727434,24.621019
8552,4,119.598693,24.290684
8552,4,119.014621,24.813857
8552,4,118.745263,23.903651
8552,4,118.687683,24.410178
8552,4,118.981917,24.117558
8552,4,118.866401,23.995098
8552,4,118.492355,24.337195
8552,4,119.629472,24.281002
8552,4,118.907164,23.99912
8552,4,119.338163,24.76276
8552,4,119.358021,24.829342
8552,4,119.501723,24.661567
8552,4,119.250999,24.255116
8552,4,119.628122,24.477166
8552,4,118.898458,23.94524
8552,4,119.726677,24.622543
8560,4,119.603129,24.295839
8560,4,119.014185,24.811959
8560,4,118.689241,24.411127
8560,4,118.98592,24.11883
8560,4,118.869496,23.995529
8560,4,118.492031,24.338542
8560,4,119.128237,24.003319
8560,4,118.836125,24.136405
8560,4,119.628201,24.277878
8560,4,118.914488,24.006949
8560,4,119.357097,24.82667
8560,4,119.500604,24.661257
8560,4,119.249674,24.255474
8560,4,119.328203,24.016904
8560,4,119.624737,24.470996
8560,4,118.902943,23.947226
8560,4,119.725543,24.622275
8568,4,119.602719,24.293764
8568,4,118.746199,23.901745
8568,4,118.687627,24.412509
8568,4,118.980545,24.117473
8568,4,118.865717,23.995291
8568,4,118.493249,24.338938
8568,4,119.129828,24.003736
8568,4,118.836043,24.136745
8568,4,119.633574,24.284642
8568,4,118.917666,24.007624
8568,4,118.910492,24.000007
8568,4,119.335612,24.76256
